original_job,new_job
data warehouse engineer,data engineer
database analyst programmer,data engineer
database engineer,data engineer
database programmer,data engineer
oracle applications engineer,data engineer
sql database engineer,data engineer
teradata engineer,data engineer
database consultant,data engineer
data integration engineer,data engineer
big data architect,data architect
database architect,data architect
enterprise architect,data architect
systems architect,data architect
data warehouse architect,data architect
enterprise data architect,data architect
data architect data modeler,data architect
data architect consultant,data architect
data architect modeler,data architect
data architect engineer,data architect
data modeler data architect,data architect
enterprise data architect modeler,data architect
data architect contract,data architect
data analyst consultant,data analyst consultant
big data analyst,data analyst
data analytics analyst,data analyst
database management analyst,data analyst
statistical data analyst,data analyst
clinical data analyst,data analyst
data insights analyst,data analyst
data operations analyst,data analyst
data warehouse analyst,data analyst
ehr data analyst,data analyst
database analyst,data analyst
risk analyst,data analyst
database marketing analyst,data analyst
data integration analyst,data analyst
computer support specialist,computer support specialist
computer user support specialist,computer support specialist
computer specialists,computer specialist
computer specialist,computer specialist
computer teacher,computer science teacher
computer systems analayst,computer analyst
analyst computer programmer,computer analyst
computer systems analsyt,computer analyst
sql business intelligence engineer,business intelligence engineer
business intelligence consultant,business intelligence consultant
intelligence analyst,business intelligence analyst
business processes consultant,business consultant
business process consultant,business consultant
business strategy consultant,business consultant
management analyst,business analyst
business analytics,business analyst
business development analyst,business analyst
associate business analyst,business analyst
ehr business analyst,business analyst
business operations analyst,business analyst
business process analyst,business analyst
business strategy analyst,business analyst
it business analyst,business analyst
business data analyst,business analyst
business systems analyst,business analyst
it business systems analyst,business analyst
project manager business analyst,business analyst
business analyst project manager,business analyst
business analyst consultant,business analyst
budget analyst,business analyst
project analyst,business analyst
consultant business analyst,business analyst
business analyst product manager,business analyst
product manager business analyst,business analyst
business analyst data analyst,business analyst
assurance,assurance staff
associate professor of pathology,associate professor
asssociate professor,associate professor
assoc professor of orthopaedic surgery,associate professor
associate clinical professor,associate professor
associate clinical professor of marketing,associate professor
associate professor of accounting,associate professor
associate professor of biomedical sciences,associate professor
associate professor of clinical,associate professor
associate professor of clinical internal medicine,associate professor
associate professor of international security studies,associate professor
associate professor of the practice,associate professor
associate teaching professor,associate professor
clinical associate professor,associate professor
visiting associate professor,associate professor
assistant professor of accounting,assistant professor
acting assistant professor,assistant professor
assistant professor of data sciences and operations,assistant professor
assistant professor of pathology,assistant professor
assistant professor of criminal justice,assistant professor
assistant professor literacy education,assistant professor
assistant professor of forestry,assistant professor
assistant professor of marketing,assistant professor
assistant professor of radiation oncology,assistant professor
assistant professor pediatric gastroenterology physician,assistant professor
assistant professor of molecular biology,assistant professor
assistant professor in exercise science,assistant professor
assistant professor of computer sciences,assistant professor
assistant professor pharmaceutical sciences pharmaceutics,assistant professor
assistant professor in the field of mathematics,assistant professor
assistant professor of dentistry,assistant professor
assistant professor of chinese,assistant professor
assistant professor of research,assistant professor
assistant professor of modern languages,assistant professor
assistant professor neurological surgery spine center,assistant professor
assistant professor of management & entrepreneurship,assistant professor
assistant professor of radiology,assistant professor
assistant professor of 3d animation & game design,assistant professor
assistant professor field service,assistant professor
mathematics assistant professor,assistant professor
assistant professor operations management,assistant professor
assistant professor instruction,assistant professor
assistant professor of clinical neurology,assistant professor
assistant professor of clinical pediatrics,assistant professor
assistant professor of info systems & decision sciences,assistant professor
assistant professor of pharmacology,assistant professor
assistant professor of neurology,assistant professor
assistant professor of theology,assistant professor
assistant professor of cinematic arts,assistant professor
assistant professor in systems biology of aging,assistant professor
assistant professor of chemistry,assistant professor
assistant professor of cognitive linguistics & psychological,assistant professor
assistant professor of transplantation infectious disease,assistant professor
assistant research professor of astrophysics,assistant professor
assistant professor dermatology,assistant professor
assistant professor of applied leadership,assistant professor
assistant professor of clinical ob,assistant professor
assistant professor of educational psychology,assistant professor
assistant professor of finance,assistant professor
assistant professor of surgery,assistant professor
assistant teaching professor,assistant professor
clinical assistant professor,assistant professor
assistant professor in the department of communication,assistant professor
assistant professor of aerospace engineering,assistant professor
assistant professor of communication,assistant professor
assistant professor of cyber security & data mining,assistant professor
